date,year,temperature,min_temperature,max_temperature,season_year,season,day_in_season
1864-04-28,1864,11.9,,,1864,2,59
1864-04-29,1864,9.5,,,1864,2,60
1864-04-30,1864,9.8,,,1864,2,61
1864-05-01,1864,10.0,,,1864,2,62
1864-05-02,1864,9.4,,,1864,2,63
1864-05-03,1864,11.1,,,1864,2,64
1864-05-04,1864,7.0,,,1864,2,65
1864-05-05,1864,8.0,,,1864,2,66
1864-05-06,1864,12.0,,,1864,2,67
1864-05-07,1864,15.6,,,1864,2,68
1864-05-08,1864,16.1,,,1864,2,69
1864-05-09,1864,16.4,,,1864,2,70
1864-05-10,1864,14.6,,,1864,2,71
1864-05-11,1864,14.2,,,1864,2,72
1864-05-12,1864,14.9,,,1864,2,73
1864-05-13,1864,15.2,,,1864,2,74
1864-05-14,1864,15.0,,,1864,2,75
1864-05-15,1864,15.2,,,1864,2,76
1864-05-16,1864,16.5,,,1864,2,77
1864-05-17,1864,18.9,,,1864,2,78
1864-05-18,1864,19.0,,,1864,2,79
1864-05-19,1864,18.4,,,1864,2,80
1864-05-20,1864,17.4,,,1864,2,81
1864-05-21,1864,17.7,,,1864,2,82
1864-05-22,1864,16.7,,,1864,2,83
1864-05-23,1864,14.7,,,1864,2,84
1864-05-24,1864,10.3,,,1864,2,85
1864-05-25,1864,13.0,,,1864,2,86
1864-05-26,1864,12.3,,,1864,2,87
1864-05-27,1864,10.7,,,1864,2,88
1864-05-28,1864,12.6,,,1864,2,89
1864-05-29,1864,13.8,,,1864,2,90
1864-05-30,1864,13.9,,,1864,2,91
1864-05-31,1864,18.0,,,1864,2,92
1864-06-01,1864,18.4,,,1864,3,1
1864-06-02,1864,17.5,,,1864,3,2
1864-06-03,1864,18.2,,,1864,3,3
1864-06-04,1864,17.1,,,1864,3,4
1864-06-05,1864,16.9,,,1864,3,5
1864-06-06,1864,18.0,,,1864,3,6
1864-06-07,1864,17.5,,,1864,3,7
1864-06-08,1864,16.0,,,1864,3,8
1864-06-09,1864,15.6,,,1864,3,9
1864-06-10,1864,13.0,,,1864,3,10
1864-06-11,1864,13.8,,,1864,3,11
1864-06-12,1864,16.6,,,1864,3,12
1864-06-13,1864,18.5,,,1864,3,13
1864-06-14,1864,17.3,,,1864,3,14
1864-06-15,1864,14.9,,,1864,3,15
1864-06-16,1864,15.4,,,1864,3,16
1864-06-17,1864,16.8,,,1864,3,17
1864-06-18,1864,17.4,,,1864,3,18
1864-06-19,1864,17.2,,,1864,3,19
1864-06-20,1864,15.7,,,1864,3,20
1864-06-21,1864,17.4,,,1864,3,21
1864-06-22,1864,18.7,,,1864,3,22
1864-06-23,1864,19.5,,,1864,3,23
1864-06-24,1864,17.5,,,1864,3,24
1864-06-25,1864,18.1,,,1864,3,25
1864-06-26,1864,19.2,,,1864,3,26
1864-06-27,1864,13.1,,,1864,3,27
1864-06-28,1864,11.5,,,1864,3,28
1864-06-29,1864,14.5,,,1864,3,29
1864-06-30,1864,15.2,,,1864,3,30
1864-07-01,1864,15.4,,,1864,3,31
1864-07-02,1864,15.9,,,1864,3,32
1864-07-03,1864,18.1,,,1864,3,33
1864-07-04,1864,15.4,,,1864,3,34
1864-07-05,1864,16.2,,,1864,3,35
1864-07-06,1864,18.4,,,1864,3,36
1864-07-07,1864,15.6,,,1864,3,37
1864-07-08,1864,15.9,,,1864,3,38
1864-07-09,1864,16.3,,,1864,3,39
1864-07-10,1864,16.8,,,1864,3,40
